,male,female,flames_result
98,kenneth salinas,stacey bowman,Love
99,joe martin,shelly gonzales,Friends
100,william robinson,sarah irwin,Enemy
101,joshua webb,heather weaver,Love
102,jordan love,tamara fischer,Friends
103,william kramer md,donna swanson,Love
104,johnathan gonzalez,brianna ross,Marriage
105,daniel trujillo,samantha white,Affection
106,james burgess dds,deanna hunt,Friends
107,richard moore,jacqueline barnes,Affection
108,jacob crawford,rachel brown,Enemy
109,andrew pearson,anna garrett,Affection
110,joshua pearson,lauren fisher,Enemy
111,tyler kelly,karen hart,Enemy
112,antonio montgomery,taylor church,Friends
113,aaron carpenter,christine jones,Love
114,james lam,laurie dean,Enemy
115,trevor wood,sharon powers,Enemy
116,louis diaz,erica cochran,Affection
117,brian kelly,jamie dennis,Love
118,james fisher,laura smith,Enemy
119,william cruz,samantha lowery,Affection
120,kevin mcgee,veronica jones,Enemy
121,robert johnston,cynthia white,Friends
122,stephen thompson,andrea lawrence,Enemy
123,clinton cobb,amy lopez,Friends
124,dillon bowman,yolanda vega,Affection
125,keith george,laura colon,Friends
126,aaron solis,breanna hall,Affection
127,paul galloway,peggy smith,Marriage
128,carl rose,shannon davis,Affection
129,eric jones,madison smith,Marriage
130,justin clark,brandy jones,Marriage
131,edward stanley,toni carrillo,Affection
132,wesley arellano,latoya hamilton,Marriage
133,david johnson,jennifer walker,Friends
134,robert young,lisa wallace,Enemy
135,casey santana,kathryn stewart,Marriage
136,james roman,traci santos,Affection
137,eric bradford,brianna hanson,Marriage
138,daniel holland,sonia ford,Affection
139,ronald arnold,michelle white,Friends
140,todd davis,beth kelley,Affection
141,eric cardenas,lisa thomas,Affection
142,tom cole,angela zimmerman,Affection
143,devin simon,stephanie hernandez,Marriage
144,stephen lloyd, julie robinson,Friends
145,jake edwards,brittany sanchez,Marriage
146,michael proctor,elizabeth wright,Love
147,ronald morris,mary adkins,Friends
148,eugene browning,brittany peters,Affection
149,james lopez,valerie jackson,Enemy
150,kenneth peck,kimberly mcclain,Affection
151,bryce snow,jo johnson,Enemy
152,casey mann,katherine howard,Friends
153,mark patterson,pamela contreras,Friends
154,mark lane,karina bartlett,Marriage
155,matthew robinson,ellen white,Enemy
156,nathan webb,miranda frank,Affection
157,richard johnson,ashley alvarez,Marriage
158,christian barnett,jennifer gray,Marriage
159,terry brown,patricia gates,Friends
160,mark ortiz,sydney garner,Marriage
161,brian lewis,melissa gonzalez,Affection
162,jose walker,lisa gallegos,Enemy
163,louis stone,jennifer patel,Love
164,bill petersen,meghan rhodes,Affection
165,martin medina,christina fox,Love
166,chad evans,melissa simpson,Marriage
167,philip hill,carrie page,Affection
168,christopher harris,april arias,Affection
169,ricky joyce,christine fernandez,Marriage
170,timothy armstrong,michele lee,Love
171,ethan hawkins,stacey bernard,Marriage
172,ryan gutierrez,zoe allen,Marriage
173,casey cook jr,april meza dds,Marriage
174,terry roberts,teresa west,Friends
175,gerald drake,katherine torres,Marriage
176,ralph murphy,stephanie robinson,Affection
177,anthony perez,wanda harrison,Love
178,dr kevin ward,cynthia walker,Enemy
179,nathaniel oneill,lori herrera,Affection
180,victor flores,tammy lee,Affection
181,robert miller,lindsey werner,Love
182,eric mahoney,jennifer ferguson,Marriage
183,kenneth watson,elizabeth aguirre,Friends
184,alexander gilbert,ashley owens,Friends
185,logan house,lisa soto,Enemy
186,michael leon,lindsey russell,Affection
187,william watson,amy fernandez,Friends
188,steven walker,brianna wilson,Love
189,anthony green,jennifer russo,Marriage
190,joshua jackson,ashley patterson,Affection
191,walter sullivan,kristin curry,Marriage
192,david richards,samantha clements,Affection
193,raymond roberts,morgan lambert,Friends
194,jacob savage,dorothy roberts,Marriage
195,tanner wiley,jasmine taylor,Friends
196,michael kelly,angela hines,Affection
197,william olson,joanna moore,Love
198,joshua ponce,valerie rivera,Affection
199,john young,anna lutz,Marriage
200,tony campbell,molly edwards,Love
201,joshua smith,amy herrera,Affection
202,john salinas,regina reilly,Marriage
203,chad baldwin,sharon huff,Affection
204,christopher rojas,caitlin rivera,Marriage
205,james paul,kathleen peck,Love
206,tristan riddle,tina parker,Marriage
207,tony golden,carrie foster,Friends
208,harry anderson,melanie dunn md,Affection
209,jeffrey walters,kristin simmons,Love
210,logan howell,brenda hill,Affection
211,jose rogers,jenna clark,Affection
212,david cantrell,traci wilson,Enemy
213,darius weiss,julia smith,Enemy
214,philip johnson,tanya collier,Affection
215,mark mann,lindsey stewart,Friends
216,jonathan ford,megan richardson,Enemy
217,bradley sanders,sherry mendoza,Marriage
218,tristan rowe,jodi fox,Affection
219,maxwell baxter,tami henderson,Affection
220,anthony smith,lindsay simpson,Enemy
221,michael madden,cheryl west,Affection
222,bryan wong,kim rowe,Love
223,david rodriguez,kimberly sawyer,Friends
224,keith edwards,teresa moreno phd,Affection
225,james moss,carolyn patterson,Affection
226,james nguyen,kelly wong,Love
227,jeremy stark,amanda oneal,Affection
228,harold nguyen,jennifer love,Love
229,michael sanchez,lauren nunez,Love
230,austin vega,marissa aguilar,Affection
231,steven matthews,april morales,Friends
232,jordan ramirez,kathryn sullivan,Marriage
233,corey davis,charlene palmer,Affection
234,dr joseph douglas,dr monica hammond md,Friends
235,joseph jenkins,colleen young,Friends
236,chad long,sally robertson,Affection
237,hunter dodson,jasmine gonzalez,Marriage
238,christopher smith,margaret perez,Affection
239,chad joseph,amanda manning,Friends
240,jason chapman,tina moore,Enemy
241,charles serrano,beth hale,Love
242,ricardo quinn,natalie holt,Affection
243,paul lyons,yvonne perry,Love
244,raymond ponce,julie welch,Affection
245,oscar lewis,maureen king,Affection
246,jaime freeman,carrie arnold,Affection
247,jesus davis,lori day,Marriage
248,matthew ritter,aimee bell,Marriage
249,tristan sharp,molly schwartz,Marriage
250,miguel garcia,jennifer quinn,Friends
251,mark ruiz,miranda diaz,Friends
252,robert braun,jennifer young,Enemy
253,david rodgers,carla wolfe,Affection
254,david wade,kara ray,Marriage
255,terry wilkerson,heather gregory,Marriage
256,david hernandez,amanda henson,Enemy
257,donald watkins,jessica jackson,Love
258,paul brown,angela nelson,Enemy
259,alexander little,elizabeth russell,Enemy
260,spencer miller,lori lane,Marriage
261,edward young,stephanie garcia,Affection
262,carlos guerrero,donna galloway,Friends
263,william melton,alicia cooke,Affection
264,mark rogers,stacy young,Affection
265,antonio mcguire,lauren hall,Affection
266,todd wilson,lisa jackson,Enemy
267,gregory garza,tracey snow,Enemy
268,james houston,kimberly jones,Love
269,joseph mayo,shannon williams,Affection
270,todd hayes,sonya brewer,Enemy
271, andrew henson md,amanda sheppard,Friends
272,ronald rosales,brandi moore,Enemy
273,kenneth campbell,jessica lee,Affection
274,gary roth,crystal pratt,Enemy
275,kevin lopez,virginia king,Love
276,ryan wolfe,stephanie yates,Affection
277,robert compton,mary mccarthy,Affection
278,john salas,debra adams,Marriage
279,shawn mahoney,michelle blake,Affection
280,matthew watts,kayla pacheco,Marriage
281,matthew buchanan,hailey baker,Affection
282,james bennett,lisa santos,Enemy
283,ronald morgan,heather henson,Affection
284,stephen weaver,kristina harding,Affection
285,john jones, kathryn olsen,Marriage
286,daniel smith,betty burns,Affection
287,garrett vargas,rebecca clark,Affection
288,mark nguyen,natalie sawyer,Enemy
289,james mccullough,lisa fleming,Marriage
290,david singleton,diane martin,Enemy
291,adam reilly,melanie schwartz,Enemy
292,james martinez,michele walters,Affection
293,james craig,melissa sanders,Marriage
294,thomas jackson,emily ross,Affection
295,vincent ramirez,ashley mitchell,Affection
296,david smith,alicia torres,Marriage
297,christopher lyons,linda duran,Friends
298,alan flores,shelby thompson,Marriage
299,anthony james,samantha wagner,Marriage
300,alan evans,dr debbie reese,Marriage
301,victor foster,wanda roberts,Love
302,matthew roth,kendra brown,Marriage
303,bobby herrera,jennifer wilcox md,Friends
304,ian mendez,donna wheeler,Affection
305,james rodriguez,dana miles,Enemy
306,christopher carlson,cindy welch md,Marriage
307,michael kaufman,brittany foster,Friends
308,william roberts,hannah russell,Affection
309,anthony wilson,mariah gonzales,Affection
310,randy tran,jennifer ramirez,Affection
311,arthur benitez,rebecca nelson,Marriage
312,kevin cervantes,crystal may,Affection
313,norman rivera,desiree deleon,Affection
314,roy lewis,donna carey,Love
315,nathan martinez,carrie harris,Enemy
316,kenneth marshall,kelly case,Enemy
317,tyler jenkins,jaime guerra,Affection
318,andrew ferguson,andrea king,Enemy
319,christopher black,kayla smith,Love
320,taylor walker,cassandra chavez,Friends
321,timothy alvarado,carolyn flores,Affection
322,carlos davis,alicia williamson,Marriage
323,ryan conway,stacey edwards,Love
324,jeremy hughes,lisa graham,Marriage
325,james nguyen,kimberly robles,Marriage
326,shawn gonzalez,courtney myers,Friends
327,steven norton,nicole barnes,Affection
328, daniel miller,lindsey watkins,Marriage
329,daniel wallace,alexa blankenship,Enemy
330,benjamin sanchez,katrina greene,Affection
331,christopher johnson,nicole fletcher,Enemy
332,joseph holt,catherine robertson md,Friends
333,jesse buchanan,caroline evans,Enemy
334,christopher chapman,mary robertson,Love
335,jason campos,heather silva,Friends
336,ian johnson,hannah hudson,Enemy
337,robert hall,regina woods,Marriage
338,brad fernandez,shannon davis,Affection
339,charles wu,sandra smith,Love
340,justin mcfarland,katie white,Friends
341,alexander davis,terri tucker,Marriage
342,paul lewis,erin hutchinson,Friends
343,mark gordon,katherine gibson,Love
344,david harrington,jasmine thomas,Affection
345,james anderson,regina jarvis,Enemy
346,vincent nash,shannon barton,Affection
347,anthony wiggins,lisa sullivan,Affection
348,donald smith,vicki poole,Affection
349,scott diaz,pamela stevens,Affection
350,david gill,kristine taylor,Friends
351,collin wilson,vanessa zimmerman,Friends
352,christopher knight,kathryn white,Affection
353,jeffrey patterson,margaret campbell,Friends
354, raymond medina,cathy davis,Marriage
355,robert thompson,angela kerr,Marriage
356,charles brooks,barbara sullivan,Love
357,joseph wilson,april pena,Love
358,david wong,amber cooley,Marriage
359, joseph richardson,sarah jarvis,Love
360,jeremy fisher,kimberly wheeler,Affection
361,jacob park,christina mendoza,Marriage
362,ian tucker,monique barr,Enemy
363,micheal hodges,jessica andrade,Enemy
364,patrick warner,charlene buck,Affection
365,carlos smith,samantha jordan,Enemy
366,david watson,cindy hill,Affection
367,bryan welch,taylor mcdaniel md,Love
368,aaron munoz,vickie ruiz,Friends
369,edward mckinney,michelle powell,Marriage
370,bryan allen,melanie griffin,Enemy
371,darius barrera,kristina smith,Love
372,robert vega,megan camacho,Marriage
373,scott rivers,dr michelle smith,Love
374,aaron ayers,allison cox,Enemy
375,benjamin hayes,kristin mcconnell,Friends
376,dr benjamin hill,tracy stephenson,Affection
377,jonathan torres,tammy melton,Love
378,jason richards,heather logan,Marriage
379,glenn ruiz,cynthia foster,Affection
380,jesse torres,emma navarro,Affection
381,ryan hughes,katherine harper,Affection
382,blake richardson,alyssa salazar,Marriage
383,jacob shields,lisa johnson,Marriage
384,william davidson dvm,ann lee,Marriage
385,james hall,rebecca harding,Friends
386,matthew king md,robin rogers,Friends
387,eric smith,jessica hill,Enemy
388,rodney hicks,ashley rangel,Love
389,john brown,anna ellis,Friends
390,aaron smith,elizabeth riley,Affection
391,christian cook,lisa morris,Affection
392,ian williams,dawn williams,Siblings
393,david perez,sandra williams,Affection
394,ronald walters jr,erin jones,Enemy
395,christopher ponce,michelle james,Friends
396,jason romero,tonya lynn,Love
397,fernando holt, cynthia gonzalez,Marriage
398,victor padilla,anne lawrence,Friends
399,barry collins,eileen wade,Affection
400,frank reyes,sheila adams,Marriage
401,matthew lewis,shelly wise,Friends
402,michael spence,brianna miller,Affection
403,steven hunt,michele miller,Friends
404,corey cooper,mary jimenez,Affection
405,cody valdez, susan kent,Love
406,scott santiago,traci hernandez,Affection
407,stephen olson,angela pineda,Affection
408,jonathan hill,leah burton,Marriage
409,john shepherd,tammy sparks,Friends
410,david mora,elizabeth wheeler,Friends
411,antonio cunningham,carla bishop,Friends
412,ronald harvey,sydney norton,Enemy
413,andrew patterson,olivia holland,Friends
414,charles livingston,janet grant md,Affection
415,bryan shaffer,jasmine reyes,Enemy
416,andre andrews,miss nancy hensley,Affection
417,thomas smith,kari le,Affection
418,jonathan nichols,rebekah hunt,Affection
419,edward anderson,lisa fuller,Affection
420,robert willis,lisa english,Love
421,billy king,jacqueline gonzalez,Marriage
422,devin matthews,cheryl carey,Friends
423,joseph garner,hannah stanton,Enemy
424,jeffrey roman,megan andersen,Affection
425,jose evans,melinda smith,Marriage
426,darrell russell,kari proctor,Affection
427,mitchell pratt,marie harrington,Affection
428,peter harrington,chelsea maldonado,Marriage
429,thomas ford,debra davis,Love
430, michael ramsey,loretta ford,Marriage
431,william perry,beth cook,Friends
432,anthony chandler,jillian brown,Affection
433,sean harper,adriana jackson,Love
434,william miles,maria hopkins,Marriage
435,trevor patrick,jessica ibarra,Love
436,brian roth,samantha collins,Enemy
437,keith butler,penny hubbard,Marriage
438,patrick anderson,haley horton,Love
439,peter beltran,tammy dawson,Marriage
440,dustin price,stephanie watkins,Enemy
441,charles gibson,danielle brown,Enemy
442,robert wilson,leslie bennett,Friends
443,james bender,kathleen potter,Affection
444,brandon martinez,ms jessica davis,Affection
445,robert johnson,jessica lewis,Friends
446,brian peterson,lindsay garcia,Marriage
447,paul harris,nicole hubbard,Enemy
448,jonathan richardson,jessica price,Affection
449,dr nathan barnes jr,catherine lee,Enemy
450,john duran,nicole williams,Friends
451,alex wagner,jordan osborn,Affection
452,evan smith,linda howard,Marriage
453,nathan galvan,cynthia bradford,Affection
454,jesse ortiz,angela gibson,Affection
455,brandon williams,jeanne wilson,Enemy
456,jeffery watkins,hannah lane,Affection
457,scott vega,ashlee massey,Love
458,michael anderson,amber barry,Affection
459,sean brennan,kimberly wang,Affection
460,scott yates,danielle reynolds,Affection
461,frank martinez,deborah huang,Affection
462,jordan carter,deborah jennings,Enemy
463,mark keith,laura hall,Love
464,john nichols,wanda wilson,Enemy
465,roger dennis,donna shannon,Enemy
466,randy moore,megan gregory,Enemy
467,todd frazier,michelle myers,Marriage
468,steven barnes,dana white,Enemy
469,james mercado,alice richards,Affection
470,joshua ruiz,latoya king,Affection
471,benjamin reyes,holly arnold,Marriage
472,steven butler,amy pugh,Affection
473,brandon woods,andrea hendrix,Marriage
474,keith vaughan,sally richards,Friends
475,keith lambert,carrie mack,Enemy
476,shawn wells,katie powers,Love
477,andrew lewis,april rhodes,Marriage
478,nathan rodriguez,sherri lawson dds,Enemy
479,robert sanders,christina bennett,Marriage
480,charles davis,jessica fowler,Enemy
481,joshua johnson,tiffany johnson,Marriage
482,james jimenez,stephanie sanchez,Enemy
483,john williams,dorothy daniels,Enemy
484,thomas berry,kristen ho,Enemy
485,noah everett,shannon miller,Affection
486,jeffrey bell,ashley monroe,Marriage
487,andrew morris,kelly moran,Affection
488,jason jackson,mary coffey,Friends
489,eric glover,amy freeman,Affection
490,robert best,heather tate,Affection
491,adam freeman,kim hansen md,Marriage
492,jeffery hall,stephanie bell,Marriage
493,andrew peterson,destiny barnes,Marriage
494,craig hernandez,jessica welch,Affection
495,mark casey,patricia thomas,Love
496,zachary dunn,courtney ortiz,Love
497,jason lopez,nicole castillo,Affection
498,alexander mcbride,lisa gilmore,Enemy
499,gerald sanchez,brenda edwards,Enemy
500,cory parker,jessica mccoy,Love
501,daniel richardson,adrienne gomez,Enemy
502,dr steven camacho,tiffany mcbride,Marriage
503,david smith,lisa torres,Love
504,juan avila, ann reid,Marriage
505,david morrison,michelle lawson,Affection
506,alexander webb,lisa dickerson,Marriage
507,anthony sullivan,kimberly maldonado,Affection
508,michael owens,brandi vincent,Marriage
509,william owen,bonnie watkins,Enemy
510,derek johnson,elizabeth webb,Friends
511,lee robertson,kimberly dunlap,Affection
512,jeffrey vazquez,melanie garcia,Friends
513,timothy jones,janet daugherty,Marriage
514,brian berger,emily thomas,Marriage
515,ray nelson,kelly bates,Enemy
516,christopher graves,sheri woods,Affection
517,daniel freeman,rebecca petty,Friends
518,taylor diaz,brooke bryant,Enemy
519,daniel harrison,donna roberts,Marriage
520,logan haney,rebecca watson,Marriage
521,eric ford,jenna lane,Friends
522,christian fisher,rachel fox,Love
523,colton allen,shannon king,Marriage
524,russell estrada,heather mullen,Affection
525,richard horton,sydney shelton,Affection
526,brandon avila,hannah douglas,Enemy
527,robert hubbard,karen fitzgerald,Affection
528,joshua carr,paula garcia,Affection
529,adam richards,lisa jackson,Marriage
530,david miller,brenda gomez,Love
531,darren contreras,deanna alexander,Marriage
532,joshua howard,tina sanchez,Friends
533,john phillips,sheryl obrien,Enemy
534,charles fox,sheila lloyd,Enemy
535,alexander mann,sarah johnson,Affection
536,ian white,april patel,Affection
537,kevin griffin,paige figueroa,Enemy
538,clayton smith,mary price,Marriage
539,alex spence,jordan matthews,Affection
540,mark mills,andrea burke,Affection
541,troy flores,stephanie harrison,Affection
542,duane mendoza, anne mccarthy,Friends
543,wyatt guzman,hannah miller,Friends
544,michael williamson,joy winters,Affection
545,scott brock,danielle moore,Affection
546,alfred mcpherson,melissa bailey,Affection
547,jeff robinson,mary blair,Friends
548,michael randall,danielle barnes,Friends
549,ryan avila,caitlin ochoa,Enemy
550,kurt wolfe,shelby cook,Love
551, shawn bishop,mallory obrien,Marriage
552,dylan barnett,robin cochran,Affection
553,tim diaz,taylor rosario,Affection
554,jonathan hatfield,tara gray,Marriage
555,scott nguyen,joy trujillo,Affection
556,robert turner,sheila hayden,Friends
557,tommy horn,brenda miller,Affection
558,david owens,bailey farmer,Friends
559,peter wright,grace wall,Love
560,keith cole,michelle johnson,Enemy
561, manuel boyd,karen williams,Marriage
562,walter rodriguez dds,paula bennett,Friends
563,tyler green,laurie velez,Enemy
564,larry williams,melissa spence,Love
565,christopher oconnor,penny wade,Friends
566,david forbes,barbara davis,Friends
567,jorge gomez,deanna black,Friends
568,richard henry,mary peterson,Love
569,matthew lopez,michele graham,Love
570,joel keller,penny walter,Love
571,robert brown,samantha harmon,Affection
572,gabriel sanchez,kelly nelson,Affection
573,mark barron,kristen sutton,Affection
574,matthew taylor,michelle smith,Love
575,henry robinson,lauren martin,Affection
576,antonio cooper,sabrina townsend,Enemy
577,david smith,patricia hodges,Affection
578,ryan johns md,jessica mann,Affection
579,joel golden,carrie shannon,Affection
580,william guzman,caitlin johnson,Affection
581,daniel bailey,peggy ferguson,Affection
582,danny hancock,sharon franklin,Love
583,brent anderson,jennifer hunter,Love
584,daniel gonzalez,erin burns,Friends
585,steven woods,lori anderson,Affection
586,jeffrey williams,kathryn andrade,Affection
587,roy vance,tammy thompson,Affection
588,michael smith,michelle reese,Friends
589,bruce lane,kelsey sanchez,Enemy
590,james russo,amanda wilson,Love
591,mark friedman,jodi greer,Love
592,donald jackson,tammy flores,Friends
593,richard mack,alicia leonard,Affection
594,zachary martin,katherine martinez,Marriage
595,joseph franco,cynthia rivera,Marriage
596,harold livingston,anita martinez,Affection
597,jose quinn,tracy schroeder,Friends
598,james baker,emily gallegos,Affection
599,ryan lopez,taylor walker,Marriage
600,andre price,taylor singleton,Affection
601,shawn wilkins,kristina glenn,Enemy
602,joseph davis,nicole smith,Love
603,michael martin,meagan bailey,Enemy
604,william hall,connie finley,Friends
605,ronald olson,cathy mclaughlin,Friends
606,william odom,diana harrington,Affection
607,shaun carter,alyssa robinson,Marriage
608,todd gross,michele walker,Enemy
609,william bowers,ashley cruz,Affection
610,alan larson,sherry gibson,Marriage
611,larry harrington,michelle thompson,Marriage
612,jonathan fischer,stacy jones,Marriage
613,edgar jones dds,jessica blackwell,Friends
614,daniel gutierrez,ashley heath,Friends
615,john murphy,veronica wilson,Friends
616,christopher sullivan,krystal ayala,Friends
617,james buck,deborah miller,Affection
618,brent hardin,julia shepherd,Enemy
619,christopher page,diana campbell,Friends
620,william gilmore,laura white,Enemy
621,louis lawson,ashley maynard,Affection
622,jonathan garcia,janice hill,Enemy
623,mario griffin iii,diana hill,Marriage
624,james fisher,tonya tucker,Marriage
625,nathan thompson,veronica watson,Love
626,mark lowe,traci parker,Affection
627,bryan price,karen le,Enemy
628,gregory hawkins,carol johnson dds,Affection
629,dr ethan rodriguez,sydney gray,Marriage
630,michael hall,sarah strickland,Love
631,james johnson,ana frank,Affection
632,andrew beck,abigail velazquez,Friends
633,mark richard,allison quinn,Affection
634,chris brooks,nicole jackson,Love
635,joe shaw,catherine smith,Marriage
636,timothy thompson,melissa woodward,Affection
637,curtis fischer,carrie stewart,Marriage
638,james archer,belinda mitchell,Affection
639,manuel larson,susan foster dvm,Marriage
640,nicholas torres,christina richards,Friends
641,rick scott,laura miller,Marriage
642,thomas carey,jordan hansen,Enemy
643,joe anderson,miranda randall,Love
644,tyler nguyen,jennifer nicholson,Friends
645,robert vincent,karen lee dvm,Marriage
646,tyler schmidt,dana powell,Marriage
647,douglas barnes,stacy pham,Marriage
648,adrian gilbert,kristen holt,Enemy
649,jeffrey acosta,rebecca wells,Love
650,barry osborne, kimberly walton,Enemy
651,benjamin king,rachel payne,Affection
652,gary williams,angela zuniga,Love
653,corey potter,kimberly reed,Affection
654,michael evans,rachel watson,Enemy
655,max hayes,valerie vaughn,Affection
656,kevin spencer,brianna weiss,Affection
657,larry boone,debra williams,Love
658,anthony miller,kathleen orr,Enemy
659,aaron morris,penny hendricks,Affection
660,david anderson md,amy brooks,Affection
661,scott simmons,ms barbara rivera,Love
662,brandon hunter,jennifer avila,Affection
663,robert ward,joanna anderson,Enemy
664,daniel lozano,ashley garcia,Affection
665,kenneth hunt,jennifer sweeney,Affection
666,christopher crawford,katelyn hicks,Marriage
667,joseph pierce,bailey johnson,Love
668,jose barnes,katelyn bowers,Marriage
669,james myers,andrea mcconnell,Affection
670,jeremiah sanford dds,janet baldwin,Affection
671,bryan willis md,jackie baker,Friends
672,nicholas dominguez,ashley gray,Friends
673,stephen flores,kathleen velazquez,Friends
674,robert fowler,holly turner,Enemy
675,edward lawrence,jamie hinton,Marriage
676,bobby kim,brandy cook,Enemy
677,john king,kimberly nunez,Affection
678,timothy donovan,nancy stevenson,Enemy
679,robert sparks md,michelle lang,Love
680,richard williams,susan lozano,Friends
681,henry rodriguez,pamela taylor,Marriage
682,brian reeves,nicole mendoza,Affection
683,ryan leonard,lauren foster,Marriage
684,kevin joseph,rebecca ward,Friends
685,david allen,kathryn mathis,Marriage
686,jeffrey gonzalez,hannah carpenter,Friends
687,william anderson,christina carpenter,Affection
688,david jennings,tina mcclure,Affection
689,tony carpenter,lisa wood,Friends
690,george farley,paula cummings,Affection
691,kyle dixon,christy bennett,Affection
692,stephen lawson,lori sanchez,Enemy
693,michael anderson,jennifer watts,Marriage
694,kevin vance,veronica meza,Friends
695,thomas pittman,madison harper,Enemy
696,michael wallace,anna hobbs,Friends
697, michael ryan,tammy garcia,Enemy
698,jose li,amanda wallace,Friends
699,jorge cole,heather taylor,Love
700,thomas ruiz,michele howe,Affection
701,cory carlson,kimberly duncan,Love
702,paul adams,megan lutz,Affection
703,dr michael cole,anna brown,Friends
704,john scott,sandra chandler,Friends
705,marcus owens,jacqueline johnson,Enemy
706,andrew steele,debra singleton,Friends
707,roger dixon,melissa kennedy,Affection
708,carl hodges,sabrina cabrera,Enemy
709,shane foster,judy hardy,Friends
710,guy richardson,angela jimenez,Friends
711,william moore,stephanie medina,Affection
712,daniel powell,jeanne ferguson,Affection
713,john shannon,sandra miller,Affection
714,thomas cortez,christine baker,Enemy
715,steven mcbride,nichole johnson,Affection
716,joe molina,carla flores,Enemy
717,christopher franklin,emily morris,Affection
718,christopher coleman,cynthia morrison,Friends
719,joshua reynolds,jennifer rogers,Enemy
720,terry jenkins,alexa keller,Affection
721,brendan sheppard,dr gloria george,Marriage
722,eric singleton,amber morris,Love
723,joshua anderson,sherry willis,Marriage
724,lucas blackburn,christina willis,Affection
725,michael martinez,olivia mendoza,Affection
726,christopher bell,sarah boyer,Enemy
727,jason curtis,elizabeth berg,Friends
728,tom hendrix,lisa santana,Friends
729,christopher kim,kristie davis dvm,Love
730,daniel owens,emma johns,Affection
731,christopher smith,crystal wilson,Affection
732,patrick smith,tiffany hall,Affection
